school_x,nces_id,city,address,zip,district,grades,school_type,student_count,salary_link,school_type2
Riverdale High School,470369001524,Murfreesboro,802 Warrior Dr,37128,Rutherford County,"['10', '11', '12', '9']",Public,2043.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['High']
Rockvale Elementary,470369001525,Rockvale,6550 Hwy 99,37153,Rutherford County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,906.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['Elementary']
Roy L Waldron Elementary,470369001526,Lavergne,125 Floyd Mayfield Dr,37086,Rutherford County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,1339.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['Elementary']
Smyrna West Alternative School,470369001528,Smyrna,12619 Old Nashville Hwy,37167,Rutherford County,"['10', '11', '12', '6', '7', '8', '9']",Public,90.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,"['Middle', 'High']"
Smyrna Middle School,470369001529,Smyrna,712 Hazelwood Dr,37167,Rutherford County,"['6', '7', '8']",Public,868.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['Middle']
Smyrna Primary,470369001530,Smyrna,200 Walnut St,37167,Rutherford County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,581.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['Elementary']
Thurman Francis Arts Academy/Magnet School for the Arts,470369001531,Smyrna,221 Todd Ln,37167,Rutherford County,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG']",Public,657.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,"['Elementary', 'Middle']"
Walter Hill Elementary,470369001532,Murfreesboro,6309 Lebanon Pike,37129,Rutherford County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,589.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['Elementary']
Siegel Middle School,470369001534,Murfreesboro,355 West Thompson Ln,37129,Rutherford County,"['6', '7', '8']",Public,1185.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['Middle']
Wilson Elementary School,470369001537,Murfreesboro,1545 Cutoff Rd,37129,Rutherford County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,679.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['Elementary']
Smyrna Elementary,470369001889,Smyrna,1001 Sam Davis Rd,37167,Rutherford County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,711.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['Elementary']
Blackman Middle School,470369001904,Murfreesboro,3945 Blaze Dr,37128,Rutherford County,"['6', '7', '8']",Public,1625.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['Middle']
Rock Springs Middle School,470369001906,Smyrna,3301 Rock Springs Rd,37167,Rutherford County,"['6', '7', '8']",Public,1066.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['Middle']
Lavergne High School,470369001987,Lavergne,250 Wolverine Trail,37086,Rutherford County,"['10', '11', '12', '9']",Public,2100.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['High']
Smyrna High School,470369001988,Smyrna,100 Bulldog Dr,37167,Rutherford County,"['10', '11', '12', '9']",Public,2200.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['High']
Christiana Middle School,470369002037,Christiana,4675 Shelbyville Pike,37037,Rutherford County,"['6', '7', '8']",Public,1048.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['Middle']
Siegel High School,470369002038,Murfreesboro,3300 Siegel Rd,37129,Rutherford County,"['10', '11', '12', '9']",Public,1861.0,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,['High']
